Scenario,Variant,ARI,ARI_ci_low,ARI_ci_high,RLE,RLE_ci_low,RLE_ci_high,Waste,Waste_ci_low,Waste_ci_high,SLCA,SLCA_ci_low,SLCA_ci_high,DecisionLatencyMs,DecisionLatencyMs_ci_low,DecisionLatencyMs_ci_high,ConstraintViolationRate,ConstraintViolationRate_ci_low,ConstraintViolationRate_ci_high,DownstreamViolationRate,DownstreamViolationRate_ci_low,DownstreamViolationRate_ci_high,ContainedViolationRate,ContainedViolationRate_ci_low,ContainedViolationRate_ci_high,n_seeds
adaptive_pricing,agribrain_pert_50,0.6599,0.6543,0.6669,0.7306,0.6920,0.7673,0.0289,0.0270,0.0306,0.7251,0.7198,0.7314,17.1721,14.1414,20.8894,0.2233,0.2135,0.2351,0.2404,0.2145,0.2681,0.0792,0.0592,0.1015,20
adaptive_pricing,agribrain_pert_10_static,0.6487,0.6430,0.6550,0.7296,0.6885,0.7694,0.0309,0.0288,0.0331,0.7146,0.7090,0.7209,18.6864,15.8125,22.3328,0.2368,0.2247,0.2500,0.2831,0.2374,0.3204,0.0975,0.0776,0.1204,20
adaptive_pricing,agribrain_pert_25_static,0.6485,0.6429,0.6545,0.7296,0.6885,0.7694,0.0310,0.0289,0.0332,0.7144,0.7088,0.7204,14.9276,12.4876,17.7610,0.2368,0.2247,0.2500,0.2846,0.2405,0.3213,0.0988,0.0788,0.1214,20
adaptive_pricing,agribrain_pert_50_static,0.6479,0.6425,0.6542,0.7296,0.6885,0.7694,0.0312,0.0290,0.0334,0.7139,0.7085,0.7201,15.6497,12.3965,18.8888,0.2368,0.2247,0.2500,0.2880,0.2415,0.3247,0.0968,0.0769,0.1199,20
adaptive_pricing,agribrain_no_bonus,0.6445,0.6392,0.6507,0.6931,0.6592,0.7291,0.0321,0.0298,0.0343,0.7106,0.7053,0.7166,17.5349,14.6640,20.5628,0.2368,0.2247,0.2500,0.3107,0.2651,0.3484,0.0935,0.0752,0.1145,20
adaptive_pricing,agribrain_theta_pert_10,0.6504,0.6446,0.6571,0.7267,0.6852,0.7683,0.0305,0.0284,0.0328,0.7161,0.7101,0.7227,14.7239,12.2726,18.7239,0.2368,0.2247,0.2500,0.2764,0.2294,0.3162,0.0935,0.0745,0.1163,20
adaptive_pricing,agribrain_theta_pert_25,0.6465,0.6397,0.6543,0.7132,0.6732,0.7504,0.0314,0.0293,0.0337,0.7124,0.7056,0.7202,12.6239,10.1319,15.1274,0.2368,0.2247,0.2500,0.2942,0.2443,0.3345,0.0863,0.0679,0.1080,20
adaptive_pricing,agribrain_theta_pert_50,0.6513,0.6431,0.6605,0.7268,0.6806,0.7716,0.0302,0.0281,0.0324,0.7168,0.7085,0.7259,15.9886,13.4499,19.3291,0.2368,0.2247,0.2500,0.2881,0.2383,0.3345,0.0978,0.0727,0.1293,20
baseline,static,0.5129,0.5096,0.5163,0.0000,0.0000,0.0000,0.0791,0.0737,0.0844,0.5894,0.5888,0.5902,0.0777,0.0766,0.0794,0.1064,0.0979,0.1167,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,20
baseline,hybrid_rl,0.6326,0.6275,0.6386,0.6657,0.6335,0.7084,0.0459,0.0438,0.0487,0.7011,0.6959,0.7075,0.1492,0.1470,0.1533,0.1062,0.0990,0.1148,0.3559,0.3196,0.3918,0.0717,0.0493,0.1031,20
baseline,no_pinn,0.6482,0.6427,0.6552,0.7190,0.6845,0.7517,0.0359,0.0337,0.0383,0.7115,0.7059,0.7184,0.1513,0.1490,0.1551,0.1116,0.1042,0.1189,0.3686,0.3129,0.4208,0.0844,0.0599,0.1143,20
baseline,no_slca,0.6053,0.5984,0.6116,0.4889,0.4514,0.5276,0.0438,0.0410,0.0465,0.6700,0.6635,0.6761,0.1500,0.1477,0.1541,0.1108,0.1035,0.1195,0.5472,0.4963,0.5891,0.0511,0.0321,0.0757,20
baseline,agribrain,0.6854,0.6795,0.6930,0.7802,0.7369,0.8150,0.0237,0.0216,0.0258,0.7426,0.7374,0.7495,10.6687,9.0654,12.5212,0.1073,0.1007,0.1142,0.2159,0.1769,0.2547,0.0996,0.0722,0.1274,20
baseline,no_context,0.6536,0.6464,0.6600,0.7129,0.6738,0.7543,0.0309,0.0283,0.0342,0.7142,0.7082,0.7201,0.1535,0.1510,0.1577,0.1073,0.1017,0.1139,0.3489,0.2969,0.4130,0.0825,0.0588,0.1116,20
baseline,mcp_only,0.6705,0.6641,0.6768,0.7433,0.7030,0.7841,0.0273,0.0248,0.0301,0.7299,0.7243,0.7355,8.7480,6.7835,10.8591,0.1073,0.1017,0.1139,0.2559,0.2155,0.3027,0.0877,0.0654,0.1182,20
baseline,pirag_only,0.6701,0.6634,0.6768,0.7355,0.6971,0.7748,0.0279,0.0255,0.0308,0.7297,0.7238,0.7359,3.4500,3.4188,3.5169,0.1073,0.1017,0.1139,0.2789,0.2313,0.3421,0.0795,0.0556,0.1113,20
baseline,agribrain_cold_start,0.6904,0.6845,0.6971,0.7732,0.7308,0.8056,0.0227,0.0207,0.0249,0.7470,0.7419,0.7532,11.9600,9.6459,15.3748,0.1073,0.1007,0.1142,0.1968,0.1613,0.2327,0.0966,0.0718,0.1253,20
baseline,agribrain_pert_10,0.6839,0.6781,0.6913,0.7732,0.7308,0.8056,0.0240,0.0220,0.0261,0.7412,0.7362,0.7480,11.6401,10.2237,13.9020,0.1073,0.1007,0.1142,0.2188,0.1797,0.2589,0.1009,0.0748,0.1284,20
baseline,agribrain_pert_25,0.6838,0.6781,0.6911,0.7732,0.7308,0.8056,0.0240,0.0220,0.0262,0.7411,0.7361,0.7478,11.5614,9.8784,13.3794,0.1073,0.1007,0.1142,0.2204,0.1803,0.2613,0.1009,0.0748,0.1284,20
baseline,agribrain_pert_50,0.6842,0.6783,0.6917,0.7732,0.7308,0.8056,0.0239,0.0219,0.0261,0.7414,0.7363,0.7483,8.5227,7.3778,10.0703,0.1073,0.1007,0.1142,0.2188,0.1797,0.2589,0.1023,0.0762,0.1295,20
baseline,agribrain_pert_10_static,0.6670,0.6601,0.6739,0.7288,0.6901,0.7698,0.0283,0.0257,0.0314,0.7265,0.7206,0.7329,8.3120,7.5126,9.2937,0.1073,0.1017,0.1139,0.2940,0.2443,0.3581,0.0841,0.0597,0.1163,20
baseline,agribrain_pert_25_static,0.6668,0.6601,0.6734,0.7288,0.6901,0.7698,0.0283,0.0258,0.0313,0.7264,0.7206,0.7324,10.5749,8.6245,13.5461,0.1073,0.1017,0.1139,0.2922,0.2448,0.3570,0.0841,0.0597,0.1163,20
